ID,Station,Latitude,Longitude,Color
149,Melvin Drive Park,33.70887984,-84.51406594,
150,Cascade Springs,33.71979734,-84.48131181,
151,Lions Park,33.82049709,-84.57139877,
152,Heritage Park,33.83870474,-84.54297849,
153,Bishop Park,33.90545053,-84.58938425,
154,Palisades Unit,33.88570824,-84.43624875,
155,Morgan Falls,33.9759733,-84.38170668,
156,Standing Peachtree Park,33.83014103,-84.44585773,
157,Kennedy Memorial Gardens,33.6777142,-84.2890068,
158,Chapel Hill Park,33.673422,-84.22597164,
159,Collins Hill Park,34.01762926,-84.0146609,
160,Deerwood Park,33.67910131,-84.5104118,
